# ribosum_H99.txt
# Summary of ribosome profiling data, C. neoformans serotype A H99
# Mean of 4 quasi-replicates (2x WT H99 and 1x AGO1 deletion, 1x GWO1 deletion)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: H99 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNAG_00002	113.413	61.131	0.539
CNAG_00003	6.452	0.18	0.028
CNAG_00004	14.897	6.069	0.407
CNAG_00005	5.658	8.27	1.462
CNAG_00006	146.731	172.231	1.174
CNAG_00007	43.239	24.445	0.565
CNAG_00008	12.319	12.217	0.992
CNAG_00009	25.947	57.531	2.217
CNAG_00010	25.269	2.694	0.107
CNAG_00011	22.168	12.121	0.547
CNAG_00012	60.805	61.637	1.014
CNAG_00013	25.763	0.198	0.008
CNAG_00014	19.662	4.332	0.22
CNAG_00015	7.474	1.971	0.264
CNAG_00016	272.582	326.479	1.198
CNAG_00017	3.404	0.229	0.067
CNAG_00018	24.289	20.294	0.836
CNAG_00019	784.417	784.654	1
CNAG_00020	20.107	17.138	0.852
CNAG_00021	52.8	77.088	1.46
CNAG_00022	143.794	105.346	0.733
CNAG_00023	1.1	0.125	0.114
CNAG_00024	132.78	26.808	0.202
CNAG_00025	16.304	10.299	0.632
CNAG_00026	181.783	212.288	1.168
CNAG_00027	5.836	3.829	0.656
CNAG_00028	10.225	0.87	0.085
CNAG_00029	4.558	1.293	0.284
CNAG_00030	3.631	3.107	0.856
CNAG_00031	9.482	3.725	0.393
CNAG_00032	4.414	0.991	0.224
CNAG_00034	5514.161	5274.208	0.956
CNAG_00035	0.959	1.16	1.21
CNAG_00036	2.969	2.552	0.86
CNAG_00038	26.381	19.49	0.739
CNAG_00039	12.802	12.448	0.972
CNAG_00040	60.406	115.646	1.914
CNAG_00043	20.907	8.551	0.409
CNAG_00044	31.734	25.416	0.801
CNAG_00045	6.569	8.914	1.357
CNAG_00046	140.31	185.378	1.321
CNAG_00047	4.313	1.756	0.407
CNAG_00048	0.707	0.141	0.2
CNAG_00049	1.507	0.999	0.663
CNAG_00050	20.359	22.224	1.092
CNAG_00051	15.822	8.774	0.555
CNAG_00052	21.333	13.831	0.648
CNAG_00053	24.138	6.402	0.265
CNAG_00054	0.287	0.852	2.971
CNAG_00055	61.665	77.091	1.25
CNAG_00056	11.754	12.639	1.075
CNAG_00057	54.607	77.686	1.423
CNAG_00058	169.154	220.728	1.305
CNAG_00059	28.546	14.648	0.513
CNAG_00060	36.672	44.586	1.216
CNAG_00061	474.992	994.35	2.093
CNAG_00062	87.746	142.005	1.618
CNAG_00063	44.855	40.031	0.892
CNAG_00064	166.436	100.596	0.604
CNAG_00065	424.649	720.647	1.697
CNAG_00066	20.532	7.86	0.383
CNAG_00067	568.413	445.215	0.783
CNAG_00068	12.935	16.786	1.298
CNAG_00069	0.367	0.273	0.745
CNAG_00070	10.586	3.809	0.36
CNAG_00072	82.921	132.055	1.593
CNAG_00073	38.954	36.447	0.936
CNAG_00074	76.136	45.29	0.595
CNAG_00075	155.469	135.39	0.871
CNAG_00076	23.896	11.388	0.477
CNAG_00077	28.695	13.28	0.463
CNAG_00078	11.147	8.2	0.736
CNAG_00079	12.087	14.215	1.176
CNAG_00080	1.712	0.102	0.059
CNAG_00081	54.942	55.504	1.01
CNAG_00082	70.358	36.265	0.515
CNAG_00083	19.198	19.31	1.006
CNAG_00084	61.524	118.691	1.929
CNAG_00085	88.87	91.759	1.032
CNAG_00086	41.024	56.108	1.368
CNAG_00087	25.61	15.774	0.616
CNAG_00088	408.395	269.874	0.661
CNAG_00089	61.133	56.848	0.93
CNAG_00090	39.771	25.513	0.642
CNAG_00091	32.696	25.619	0.784
CNAG_00092	429.119	473.388	1.103
CNAG_00093	21.181	13.097	0.618
CNAG_00094	2.409	1.043	0.433
CNAG_00095	22.417	8.533	0.381
CNAG_00096	15.199	7.969	0.524
CNAG_00097	3.556	1.668	0.469
CNAG_00098	16.054	9.003	0.561
CNAG_00099	29.344	41.19	1.404
CNAG_00100	183.997	519.429	2.823
CNAG_00101	102.689	43.307	0.422
CNAG_00104	53.856	124.662	2.315
CNAG_00106	41.99	20.043	0.477
CNAG_00107	14.774	10.142	0.686
CNAG_00108	98.512	111.268	1.129
CNAG_00109	152.527	167.193	1.096
CNAG_00110	27.014	25.662	0.95
CNAG_00111	75.786	91.701	1.21
CNAG_00115	64.842	135.734	2.093
CNAG_00116	1683.738	4018.327	2.387
CNAG_00117	54.437	62.782	1.153
CNAG_00118	55.503	32.594	0.587
CNAG_00119	26.38	23.798	0.902
CNAG_00120	48.179	25.389	0.527
CNAG_00121	138.36	165.753	1.198
CNAG_00122	12.353	17.692	1.432
CNAG_00123	7.335	1.435	0.196
CNAG_00124	13.507	6.526	0.483
CNAG_00125	1.548	0.273	0.176
CNAG_00126	71.464	74.09	1.037
CNAG_00127	26.424	10.269	0.389
CNAG_00128	7.29	1.408	0.193
CNAG_00129	18.25	6.183	0.339
CNAG_00130	46.057	54.601	1.186
CNAG_00131	2.111	1.584	0.75
CNAG_00132	0.948	0.121	0.128
CNAG_00133	47.591	27.778	0.584
CNAG_00134	18.831	8.971	0.476
CNAG_00135	217.648	146.352	0.672
CNAG_00136	46.353	196.523	4.24
CNAG_00137	67.79	33.335	0.492
CNAG_00138	102.505	137.678	1.343
CNAG_00139	123.787	124.03	1.002
CNAG_00140	146.893	152.645	1.039
CNAG_00141	6.709	3.367	0.502
